epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.012096773833036423,0.5088084936141968,0.7433599829673767,0.0,0.5517514944076538,0.4120030105113983
1,0.0,0.5039620995521545,0.31774434447288513,0.0357142873108387,0.5624843835830688,0.18973149359226227
2,0.012096773833036423,0.4937652349472046,0.16688768565654755,0.0714285746216774,0.5696708559989929,0.12725208699703217
3,0.03629032149910927,0.5270868539810181,0.1335572749376297,0.0357142873108387,0.6039851903915405,0.12103185802698135
4,0.04435483738780022,0.5695304870605469,0.1249181255698204,0.0357142873108387,0.6128515601158142,0.11645806580781937
5,0.06854838877916336,0.613343358039856,0.11549689620733261,0.0714285746216774,0.6268043518066406,0.11172197759151459
6,0.0927419364452362,0.6534699201583862,0.11025050282478333,0.0714285746216774,0.6747293472290039,0.10847166925668716
7,0.12096773833036423,0.6886211037635803,0.10667785257101059,0.0714285746216774,0.6465747952461243,0.10859476029872894
8,0.14516128599643707,0.7032051086425781,0.10448770970106125,0.0714285746216774,0.6743093729019165,0.10674364119768143
9,0.16935484111309052,0.728273332118988,0.10258637368679047,0.1428571492433548,0.7137413024902344,0.10514169186353683
10,0.17741934955120087,0.7514100074768066,0.10086753219366074,0.1071428582072258,0.6690672636032104,0.10593108087778091
11,0.1854838728904724,0.7689129114151001,0.09960372745990753,0.1071428582072258,0.7020283937454224,0.1042729839682579
12,0.19758065044879913,0.7883310317993164,0.09813611209392548,0.1071428582072258,0.715670108795166,0.10427749156951904
13,0.25806450843811035,0.7997605800628662,0.09705326706171036,0.1428571492433548,0.729778528213501,0.10376100242137909
14,0.27419355511665344,0.8119562864303589,0.0957331657409668,0.1071428582072258,0.7193877696990967,0.10265696048736572
15,0.22177419066429138,0.817710280418396,0.09493299573659897,0.1071428582072258,0.7133524417877197,0.1022733598947525
16,0.25,0.8358103632926941,0.0935651883482933,0.1071428582072258,0.7494555711746216,0.10184647142887115
17,0.2983871102333069,0.8401864767074585,0.09261923283338547,0.1071428582072258,0.761432945728302,0.10087095946073532
18,0.3306451737880707,0.8450990915298462,0.09142326563596725,0.1428571492433548,0.7743279933929443,0.09938006848096848
19,0.30645161867141724,0.8502116203308105,0.0905202105641365,0.1428571492433548,0.785014271736145,0.09932548552751541
20,0.32258063554763794,0.8642162084579468,0.089096300303936,0.2142857164144516,0.7849521040916443,0.09836245328187943
21,0.3427419364452362,0.874335765838623,0.08808191865682602,0.1785714328289032,0.804551362991333,0.09753786772489548
22,0.3629032373428345,0.8828997015953064,0.08724232763051987,0.1428571492433548,0.7871608734130859,0.0981823205947876
23,0.3790322542190552,0.886965274810791,0.08616477996110916,0.2142857164144516,0.8086735010147095,0.09706069529056549
24,0.41532257199287415,0.8879933953285217,0.08527085930109024,0.25,0.8255040049552917,0.09579618275165558
25,0.46370968222618103,0.8992427587509155,0.08414667099714279,0.2142857164144516,0.8014093041419983,0.09680432826280594
26,0.3911290466785431,0.8936741352081299,0.08396124094724655,0.25,0.8392857313156128,0.09431452304124832
27,0.43145161867141724,0.9091436862945557,0.08222700655460358,0.2142857164144516,0.8187531232833862,0.09537201374769211
28,0.4193548262119293,0.9019703269004822,0.08223633468151093,0.2142857164144516,0.830123782157898,0.09572172164916992
29,0.46370968222618103,0.9162548780441284,0.08049679547548294,0.3214285671710968,0.8535807728767395,0.09230635315179825
30,0.4556451737880707,0.9157627820968628,0.07967629283666611,0.25,0.8501898050308228,0.09230222553014755
31,0.4959677457809448,0.9300202131271362,0.07847010344266891,0.2142857164144516,0.8469388484954834,0.09273608773946762
32,0.44758063554763794,0.9300690293312073,0.07795335352420807,0.25,0.8543429374694824,0.09179248660802841
33,0.4717741906642914,0.9342791438102722,0.07689431309700012,0.2857142984867096,0.8631781935691833,0.09022368490695953
34,0.49193549156188965,0.9387967586517334,0.0758407786488533,0.25,0.8659625053405762,0.09050302952528
35,0.47983869910240173,0.9410034418106079,0.0750804990530014,0.2857142984867096,0.8714534640312195,0.08973560482263565
36,0.5161290168762207,0.9431977868080139,0.07439583539962769,0.3214285671710968,0.8714534640312195,0.0892019122838974
37,0.5201612710952759,0.9459230303764343,0.07343696057796478,0.3214285671710968,0.8654959201812744,0.08902968466281891
38,0.5040322542190552,0.9468967914581299,0.07292701303958893,0.2857142984867096,0.8890928626060486,0.08667550981044769
39,0.524193525314331,0.9515925049781799,0.07183052599430084,0.2857142984867096,0.8693068623542786,0.08909507095813751
40,0.5161290168762207,0.9557504653930664,0.07096140086650848,0.3214285671710968,0.8938993215560913,0.08588498085737228
41,0.5524193644523621,0.957628607749939,0.07038155943155289,0.3214285671710968,0.8743934035301208,0.08762150257825851
42,0.5604838728904724,0.9601215720176697,0.06929920613765717,0.3214285671710968,0.8936971426010132,0.08558426052331924
43,0.5483871102333069,0.9612761735916138,0.06846865266561508,0.3571428656578064,0.8928570747375488,0.08509945124387741
44,0.5725806355476379,0.9628971219062805,0.06804769486188889,0.3214285671710968,0.8897616863250732,0.08517161756753922
45,0.5846773982048035,0.9672994017601013,0.0671849250793457,0.3571428656578064,0.8953770399093628,0.08451702445745468
46,0.6129032373428345,0.9664880037307739,0.06659854203462601,0.3571428656578064,0.8979902863502502,0.08338566869497299
